company_id,industry
721189,Hospitals and Health Care
10378739,Consumer Services
348976,Human Resources Services
10104312,Government Relations Services
18344349,Facilities Services
4273342,Chemical Manufacturing
1832363,Real Estate
28631247,Religious Institutions
6482450,Facilities Services
167757,Staffing and Recruiting
10510386,IT Services and IT Consulting
14560773,Advertising Services
74748093,Business Consulting and Services
4285947,Hospitals and Health Care
14798,Higher Education
55624331,Non-profit Organizations
11825661,Financial Services
93456,Architecture and Planning
99212509,Staffing and Recruiting
81942316,Design Services
103060,Retail Apparel and Fashion
80316732,Construction
2695283,Law Practice
75865873,Law Practice
766262,Law Practice
1004269,Retail Luxury Goods and Jewelry
53824769,Individual and Family Services
1194336,Food and Beverage Services
988555,Real Estate
35690006,Hospitals and Health Care
64896719,Restaurants
2737686,Construction
76987056,Software Development
4033304,Recreational Facilities
1102521,Food and Beverage Services
2610793,IT Services and IT Consulting
2774458,Real Estate
9900162,Consumer Services
11238451,Food and Beverage Services
3857972,Computers and Electronics Manufacturing
4028816,Religious Institutions
1481176,Non-profit Organizations
166875,Higher Education
8577252,Real Estate
5079435,Hospitals and Health Care
3810432,Wellness and Fitness Services
23674217,Retail
255252,Software Development
10213128,Government Administration
11008179,Advertising Services
6556800,IT Services and IT Consulting
27169808,Real Estate
65104812,Financial Services
40653883,Banking
99090758,Defense and Space Manufacturing
69611476,Business Consulting and Services
16154524,Business Consulting and Services
59147406,Food and Beverage Manufacturing
46713,Manufacturing
19173111,Insurance
27097933,Staffing and Recruiting
14773918,Medical Equipment Manufacturing
8849197,Non-profit Organizations
76256528,Mental Health Care
1051897,Financial Services
