job_id,inferred,type
112576855,1,Medical insurance
112576855,1,Dental insurance
112576855,1,Disability insurance
231010577,1,401(k)
2747409392,1,Medical insurance
2747409392,1,Dental insurance
2747409392,1,Vision insurance
2914254129,1,Medical insurance
117675818,1,Medical insurance
95428182,1,Medical insurance
95428182,1,Dental insurance
95428182,1,Disability insurance
56482768,1,401(k)
56482768,1,Dental insurance
56482768,1,Disability insurance
23221523,1,401(k)
2147609766,1,401(k)
2147609754,1,401(k)
2147609754,1,Medical insurance
2147609929,1,401(k)
2147609858,1,401(k)
1129235875,1,401(k)
1129235875,1,Dental insurance
1129235875,1,Medical insurance
1129235875,1,Vision insurance
1826257634,1,401(k)
1826257634,1,Dental insurance
1826257634,1,Medical insurance
1826257634,1,Vision insurance
227832999,1,401(k)
2011147642,1,Medical insurance
2011147642,1,Dental insurance
1183148438,1,Medical insurance
368586246,1,Vision insurance
368586246,1,401(k)
111513530,0,Medical insurance
111513530,0,Paid maternity leave
111513530,0,Pension plan
111513530,0,Paid paternity leave
111513530,0,Dental insurance
111513530,0,Vision insurance
263583866,0,Medical insurance
263583866,0,Vision insurance
263583866,0,Dental insurance
263583866,0,401(k)
263583866,0,Tuition assistance
136743465,0,Medical insurance
1014822088,1,401(k)
2748500131,0,Medical insurance
2748500131,0,Dental insurance
2748500131,0,Vision insurance
2748500131,0,Pension plan
2748500131,0,Tuition assistance
2748500131,0,Disability insurance
2974397965,1,401(k)
2974397965,1,Medical insurance
2838336689,0,Medical insurance
2838336689,0,Vision insurance
2838336689,0,Dental insurance
2838336689,0,401(k)
658723396,1,Medical insurance
658723396,1,Dental insurance
658723396,1,Vision insurance
658723396,1,401(k)
69333422,0,Medical insurance
69333422,0,Vision insurance
69333422,0,Dental insurance
69333422,0,401(k)
229924287,0,Medical insurance
229924287,0,Dental insurance
229924287,0,Vision insurance
2790549389,1,401(k)
2790549389,1,Medical insurance
